"NETCD","STATCD","PARAMCD","PTID","DAYDT","HOURAV","VFLAGCD","FREQ_IN","PARAMDSB"
1,4,7,6,"2018-10-11 04:59:00.000",48.6127815246582,9,"1h","O3"
1,5,7,6,"2018-10-11 04:59:00.000",53.9493675231934,9,"1h","O3"
1,8,25,6,"2018-10-11 04:59:00.000",25.7000007629394,9,"1h","PM10"
1,18,4,4,"2018-10-11 04:59:00.000",10.1508617401123,9,"1h","NO2"
1,18,7,5,"2018-10-11 04:59:00.000",63.7420234680176,9,"1h","O3"
1,12,7,5,"2018-10-11 04:59:00.000",89.6706008911133,9,"1h","O3"
1,13,7,5,"2018-10-11 04:59:00.000",28.4296264648438,9,"1h","O3"
1,13,25,6,"2018-10-11 04:59:00.000",12.2159700393677,9,"1h","PM10"
1,15,4,4,"2018-10-11 04:59:00.000",44.5795783996582,9,"1h","NO2"
1,36,7,5,"2018-10-11 04:59:00.000",4.62942361831665,1,"1h","O3"
28,1,4,4,"2018-10-11 04:59:00.000",7.53195285797119,9,"1h","NO2"
28,2,4,4,"2018-10-11 04:59:00.000",9.27293395996094,9,"1h","NO2"
28,7,7,12,"2018-10-11 04:59:00.000",41.3661231994629,9,"1h","O3"
28,11,25,1,"2018-10-11 04:59:00.000",23.4661407470703,9,"1h","PM10"
28,12,4,4,"2018-10-11 04:59:00.000",1.64139842987061,9,"1h","NO2"
28,13,4,3,"2018-10-11 04:59:00.000",4.46313953399658,9,"1h","NO2"
28,13,7,4,"2018-10-11 04:59:00.000",53.2235870361328,9,"1h","O3"
3,3,7,5,"2018-10-11 04:59:00.000",88.4988403320312,1,"1h","O3"
3,5,4,3,"2018-10-11 04:59:00.000",12.8440990447998,9,"1h","NO2"
3,6,7,5,"2018-10-11 04:59:00.000",50.5452613830566,9,"1h","O3"
3,8,7,5,"2018-10-11 04:59:00.000",20.0476341247559,9,"1h","O3"
3,9,4,4,"2018-10-11 04:59:00.000",13.5214242935181,10,"1h","NO2"
3,9,7,5,"2018-10-11 04:59:00.000",31.1003952026367,9,"1h","O3"
1,31,25,2,"2018-10-11 04:59:00.000",39.3023796081543,9,"1h","PM10"
1,32,7,3,"2018-10-11 04:59:00.000",53.4498405456543,9,"1h","O3"
1,32,4,7,"2018-10-11 04:59:00.000",10.8078107833862,9,"1h","NO2"
1,33,7,3,"2018-10-11 04:59:00.000",36.4299964904785,9,"1h","O3"
1,33,4,7,"2018-10-11 04:59:00.000",9.57269668579102,9,"1h","NO2"
